Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Glow In The Dark,Smash Into Pieces,A New Horizon (Deluxe Edition),Full Volume,Playlist,QM7282184482,6arNfBdKVxRDFFzuralXDS
Happiness,Three Days Grace,Transit Of Venus,Full Volume,Playlist,USRC11200916,0TzIlhgIIpaYPYiBMcjjo9
So Far Away,Red,Release The Panic,Full Volume,Playlist,USA5W1200398,4o1JVWh1lDWs77oGANrlif
Come As You Are,Nirvana,Nevermind (Remastered),Full Volume,Playlist,USGF19942503,2RsAajgo0g7bMCHxwH3Sk0
Hard Skool,Guns N' Roses,Hard Skool,Full Volume,Playlist,USUG12103961,1Pvmzboyxwp1rOVYqwKIgU
I Will Not Bow,Breaking Benjamin,Dear Agony,Full Volume,Playlist,USHR10924529,2yXyz4NLTZx9CLdXfLTp5E
I Want You to Know,Smash Into Pieces,Unbreakable,Full Volume,Playlist,SEVWR1300109,2kiajerOA4WZqExi1wILbV
Turn It Down,Smash Into Pieces,Rise and Shine,Full Volume,Playlist,SEVWR1603002,3PBfA32SJvZA2d4cdYATdR
Sabor a Chocolate,Elefante,Lo Que And�bamos Buscando (Special Para CEV),Full Volume,Playlist,MXF140200027,29OzJTIOTjCgR7fLyEXY7u
De M�sica Ligera - Remasterizado 2007,Soda Stereo,Me Ver�s Volver (Hits & M�s),Full Volume,Playlist,ARFSB0700930,0Ruvs5IxqkGqQVWCO2oRpw
Scared,Three Days Grace,Three Days Grace (Expanded Edition),Full Volume,Playlist,USJI10300120,15ZDD1aPzLMKSaSVzRvQCY
Until The End,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Full Volume,Playlist,USHR10622221,2SnPuxrfkfwmdIZBidB9gT
You Fight Me,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Full Volume,Playlist,USHR10622228,7a904u7OK8CTTjBwNatG63
Colder,Smash Into Pieces,Unbreakable,Full Volume,Playlist,SEVWR1300101,4h1m8IyZOeDHzKieu44Y6X
Blow Me Away - Soundtrack Version,Breaking Benjamin,So Cold EP,Full Volume,Playlist,USHR10421403,7js2TSkQLuRWBIQ4HSTAv2
Untraveled Road,Thousand Foot Krutch,OXYGEN: INHALE,Full Volume,Playlist,QMF921450146,3WG3wFBe9NgkWB1mNGE6fJ
Save Yourself,My Darkest Days,Sick And Twisted Affair (Deluxe Edition),Full Volume,Playlist,USUM71201549,6FhB5ZyT4JsIJ0ozDlXCIp
Lifeline,Thousand Foot Krutch,Exhale,Full Volume,Playlist,QMF921650018,5XRrQlGQCvuSJAbdZMtiUp
Home,Three Days Grace,Three Days Grace (Expanded Edition),Full Volume,Playlist,USJI10300078,6GVryHJpjnrnrsTggoNTpe
Rise,Skillet,Rise (Deluxe Edition),Full Volume,Playlist,USAT21300462,1W0YS64vF9qgMVLuN76aqg
Not Gonna Die,Skillet,Rise (Deluxe Edition),Full Volume,Playlist,USAT21301151,2jfk3m8nq5IvB35s2xIs1O
Leech,Seether,Leech,Full Volume,Playlist,USC4R2212773,213FfJIwavzYZrAXa2nNL5
Infra-Red,Three Days Grace,Outsider,Full Volume,Playlist,USRC11703666,6oe2HcrgnNU66Eyq8BY45Z
ZOMBIFIED,Falling In Reverse,ZOMBIFIED,Full Volume,Playlist,USEP42178001,2ib8fuTavdc48X6MjhE4Ft
Yours Again,Red,of Beauty and Rage,Full Volume,Playlist,USA5W1400334,57fh50SS5Igc0u6LuHuZHN
World so Cold,Three Days Grace,Life Starts Now,Full Volume,Playlist,USJI10900542,0LPx8WfsRrXCF92YtINFtN
What I Believe,Skillet,Rise (Deluxe Edition),Full Volume,Playlist,USAT21301430,5aUl2cPg4O7yXXdzWQVTYO
The Diary of Jane - Single Version,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Full Volume,Playlist,USHR10622153,2l8ivhXXSYAKPRLjf80lpd
Bury Me Alive,Throw The Fight,Transmissions,Full Volume,Playlist,US3441604704,1TeCBgRe3xu86Xkl3HE2Fp
Seize the Day,Avenged Sevenfold,City of Evil,Full Volume,Playlist,USWB10501914,5pYVlQB1b9u9JEjaLmIDNB
Wrong Side of Heaven,Five Finger Death Punch,A Decade Of Destruction,Full Volume,Playlist,US5Z51300299,7pV3S9pEyCtC8WQhFmAJvm
Shade Of Dark,Self Deception,Shapes,Full Volume,Playlist,SE6DB1900103,0tlMaFbWeQuOwIkIpta0da
Alone In A Room,Asking Alexandria,Asking Alexandria,Full Volume,Playlist,USYFZ1791101,6aHlwohMuNrcYfOd21oSnv
A Grave Mistake,Ice Nine Kills,The Silver Scream,Full Volume,Playlist,US5261822970,2mMNBgFRyEiRoGvrdoONeq
Wake Up,Three Days Grace,Three Days Grace (Expanded Edition),Full Volume,Playlist,USJI10300124,6otrn9MyScBWdJff1dxEee
Wake Up,Smash Into Pieces,Arcadia,Full Volume,Playlist,QM6P42004463,2q9og3lbX4cdRaZMKVmlSY
Take Me Under,Three Days Grace,Three Days Grace (Expanded Edition),Full Volume,Playlist,USJI10300125,2RVcyT3JWK6TKw8ecENFsG
Superstar in Me,Smash Into Pieces,Evolver,Full Volume,Playlist,SEVWR1801401,4ON9vX9r1QkVwl0dr9o8lO
Souvenirs,Three Days Grace,EXPLOSIONS,Full Volume,Playlist,USRC12103933,2yAp8pjM1CoRcNXkLTr4Ci
Dead Memories,Slipknot,All Hope Is Gone,Full Volume,Playlist,NLA320886996,4LWQrEJYA4BEzt1zJNZHT3
Right Left Wrong,Three Days Grace,Outsider,Full Volume,Playlist,USRC11703663,7Fma0rICvZeAECL8VoPuUO
Painkiller,Three Days Grace,Human,Full Volume,Playlist,USRC11400506,6OMO6WdRhSfjMPAiPT94wH
Pain,Three Days Grace,One-X,Full Volume,Playlist,USJI10600159,5PZ2cqh9Yem2g6cTSOLllz
My Monsters,New Years Day,Unbreakable,Full Volume,Playlist,USQX91900140,2PREk7yEEwn3n3JxPHuFu0
Drowned in Emotion,Caskets,Lost Souls,Full Volume,Playlist,DED832001350,5nxcR7W60CU3cvmGX1jBzQ
Animal I Have Become,Three Days Grace,One-X,Full Volume,Playlist,USJI10600117,56sk7jBpZV0CD31G9hEU3b
The Good Life,Three Days Grace,Life Starts Now,Full Volume,Playlist,USJI10900544,55KYlnsC6nYnr3IykbmJwE
Hail to the King,Avenged Sevenfold,Hail to the King,Full Volume,Playlist,USWB11302191,3kMBEnLhExewYVmOD0wGu0
Bite The Bullet,Saint Asonia,Introvert,Full Volume,Playlist,GBUM72107471,0ioDbU5RY9CAZpVUFOYsxC
The Bottom,Devour the Day,S.O.A.R,Full Volume,Playlist,USRZR1566705,4vpJYmoqQ2bGkC1IKVWeIG
Nightlight,ILLENIUM,Nightlight,Full Volume,Playlist,ZZOPM2003022,06kxa3al7bUqRRo5nAFduZ
My Cocaine,Smash Into Pieces,The Apocalypse DJ,Full Volume,Playlist,SEVWR1401303,5owA7HCPFsTyhJmoDlwNJF
Mr. Brightside,The Killers,Direct Hits,Full Volume,Playlist,USIR20400274,2RvbnvBX3XKkHy8daq3PUT
Warriors,Imagine Dragons,Smoke + Mirrors (Deluxe),Full Volume,Playlist,USUM71414163,1lgN0A2Vki2FTON5PYq42m
Lonely Day,System Of A Down,Hypnotize,Full Volume,Playlist,USSM10505340,4NjvWCo49prbEcBi4Rn7Cs
Paradise,Smash Into Pieces,Evolver,Full Volume,Playlist,SEVWR1803807,0Tm6dXBqy3gnq1dAQS8KKV
Cross Off,Mark Morton,Anesthetic,Full Volume,Playlist,GBUM71807295,3EAeH1G0BoxQIX8SmgjqAy
It's All Over,Three Days Grace,One-X,Full Volume,Playlist,USJI10600161,2QZxpZDfJjhEGclSszvMVX
Life Starts Now,Three Days Grace,Life Starts Now,Full Volume,Playlist,USJI10900551,4Rtc87aysfzgqRMFcSqWme
In Your Eyes (feat. Alida),Robin Schulz,In Your Eyes (feat. Alida),Full Volume,Playlist,DEA621901341,61ZM92T2zaXIVsqncThQzC
